id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,loudness_db,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,-5.2,0.00
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.03,-14.8,0.72
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.06,-4.1,0.02
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.03,-16.2,0.85
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.07,-3.8,0.00
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.04,-18.5,0.91
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.05,-12.3,0.68
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.04,-7.6,0.45
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.03,-15.4,0.80
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,-6.8,0.01
11,Hype Boy,New Jeans,kpop,happy,0.77,120,0.82,0.86,0.04,0.04,-4.9,0.00
12,ANTIFRAGILE,LE SSERAFIM,kpop,intense,0.86,130,0.65,0.88,0.03,0.06,-3.7,0.00
13,Magnolia,Playboi Carti,trap,hype,0.72,130,0.56,0.79,0.06,0.28,-5.8,0.00
14,Up 2 Me,Yeat,rage rap,hype,0.88,149,0.43,0.76,0.04,0.82,-4.2,0.00
15,XO Tour Llif3,Lil Uzi Vert,emo trap,melancholic,0.74,160,0.33,0.75,0.08,0.35,-5.9,0.00
16,Boy's a liar,PinkPantheress,electronic pop,playful,0.69,131,0.77,0.85,0.06,0.06,-6.1,0.00
17,Digits,Young Thug,trap,relaxed,0.69,128,0.59,0.82,0.07,0.42,-5.3,0.00
18,Tití Me Preguntó,Bad Bunny,reggaeton,euphoric,0.89,176,0.87,0.92,0.05,0.19,-3.9,0.00
19,Blinding Lights,The Weeknd,synth-pop,intense,0.83,171,0.33,0.51,0.00,0.06,-5.9,0.00
